,"""enh_impression_list""","""enh_impression_name""","""enh_impression_position""","""search_sortby""","""object_area""","""object_city""","""object_currency""","""object_display_state""","""object_district""","""object_features""","""object_federalstate""","""object_gok""","""object_is_special""","""object_label""","""object_marketingtype""","""object_objekt_nutzungsart""","""object_objekt_zustand""","""object_objektart""","""object_objektart_sub""","""object_price""","""object_rooms""","""object_listingtype"""
0,Liste,kontakt,1.0,2594468.0,37.0,München,EUR,sel_item,Thalk.Obersendl.-Forsten-Fürstenr.-Solln,Balkon|EBK,Bayern,15f86506-f8fe-47df-b928-225c07fe3a85,,new,Miete,WOHNEN,sonstiges,,APARTMENT,1120.0,1.0,standard
1,Liste,kontakt,2.0,177005.0,53.06,München,EUR,sel_item,Thalk.Obersendl.-Forsten-Fürstenr.-Solln,Balkon,Bayern,79825012-2d7c-4f67-a9af-2d654c7e5bc8,top-immo,old,Miete,WOHNEN,sonstiges,,ETAGE,1339.77,2.0,premium
2,Liste,kontakt,3.0,177005.0,64.16,München,EUR,sel_item,Thalk.Obersendl.-Forsten-Fürstenr.-Solln,,Bayern,afeb6a6c-d180-47c6-b694-2b01d0c3bff2,top-immo,old,Miete,WOHNEN,sonstiges,,ETAGE,1509.68,2.0,premium
3,Liste,kontakt,4.0,177005.0,49.46,München,EUR,sel_item,Thalk.Obersendl.-Forsten-Fürstenr.-Solln,,Bayern,153d8cb9-3bd4-4cce-bab2-9fbe9be7de67,top-immo,old,Miete,WOHNEN,sonstiges,,ERDGESCHOSS,1600.03,2.0,premium
4,Liste,kontakt,5.0,177005.0,96.23,München,EUR,sel_item,Thalk.Obersendl.-Forsten-Fürstenr.-Solln,Balkon,Bayern,0308442d-a50c-4ac8-816b-c1a1e408229b,top-immo,old,Miete,WOHNEN,sonstiges,,ETAGE,2085.3,4.0,premium
5,Liste,kontakt,6.0,177005.0,86.16,München,EUR,sel_item,Thalk.Obersendl.-Forsten-Fürstenr.-Solln,,Bayern,a1b502d9-8f2e-49ec-b546-2526d8db9b38,top-immo,old,Miete,WOHNEN,sonstiges,,ETAGE,2099.72,3.0,premium
6,Liste,kontakt,7.0,177005.0,81.38,München,EUR,sel_item,Thalk.Obersendl.-Forsten-Fürstenr.-Solln,Balkon,Bayern,a1b3c531-a137-47b9-b189-8922c9bcf093,top-immo,old,Miete,WOHNEN,sonstiges,,ETAGE,2150.06,3.0,premium
7,Liste,kontakt,8.0,177005.0,100.27,München,EUR,sel_item,Thalk.Obersendl.-Forsten-Fürstenr.-Solln,Balkon,Bayern,0bf1caaf-ec53-4262-a553-a23f339a52a2,top-immo,old,Miete,WOHNEN,sonstiges,,ETAGE,2290.17,4.0,premium
8,Liste,kontakt,9.0,647675.0,77.25,München,EUR,sel_item,Ramersdorf-Perlach,EBK,Bayern,e22ba9e0-9ae9-4b67-bf24-1bc387393963,top-immo,old,Miete,WOHNEN,sonstiges,,ETAGE,1555.33,3.0,premium
9,Liste,kontakt,10.0,647675.0,82.68,München,EUR,sel_item,Ramersdorf-Perlach,Balkon|EBK,Bayern,b4c62c5b-a619-46f7-aa9a-eb9f895d64c4,top-immo,old,Miete,WOHNEN,sonstiges,,ETAGE,1624.66,3.0,premium
